B3DB_RF_BBB-,B3DB_GraphSAGE_BBB-,BBBP_RF_BBB-,BBBP_GraphSAGE_BBB-,B3DB_RF_BBB+,B3DB_GraphSAGE_BBB+,BBBP_RF_BBB+,BBBP_GraphSAGE_BBB+
36.10 ,36.82 ,10.49 ,12.55 ,17.03 ,20.41 ,12.43 ,13.44 
36.08 ,36.56 ,10.47 ,12.52 ,17.00 ,20.34 ,12.41 ,13.44 
36.01 ,36.46 ,10.39 ,12.46 ,16.95 ,20.34 ,12.39 ,13.40 
36.01 ,36.38 ,10.37 ,12.39 ,16.89 ,20.34 ,12.39 ,13.35 
36.01 ,36.38 ,10.24 ,12.34 ,16.89 ,20.34 ,12.38 ,13.35 
36.01 ,36.38 ,10.19 ,12.33 ,16.89 ,20.31 ,12.38 ,13.30 
36.01 ,36.38 ,10.16 ,12.33 ,16.87 ,20.31 ,12.35 ,13.29 
36.01 ,36.38 ,10.08 ,12.26 ,16.85 ,20.31 ,12.31 ,13.26 
36.01 ,36.38 ,10.00 ,12.23 ,16.85 ,20.30 ,12.27 ,13.25 
36.01 ,36.38 ,9.94 ,11.96 ,16.83 ,20.23 ,12.25 ,13.25 
35.88 ,36.19 ,9.82 ,11.94 ,16.83 ,20.22 ,12.24 ,13.24 
35.88 ,36.19 ,9.82 ,11.85 ,16.83 ,20.22 ,12.23 ,13.22 
35.88 ,36.00 ,9.76 ,11.84 ,16.80 ,20.22 ,12.23 ,13.20 
35.88 ,35.90 ,9.74 ,11.77 ,16.80 ,20.22 ,12.23 ,13.20 
35.88 ,35.90 ,9.57 ,11.68 ,16.79 ,20.22 ,12.23 ,13.20 
35.88 ,35.90 ,9.29 ,11.60 ,16.78 ,20.22 ,12.23 ,13.20 
35.79 ,35.90 ,9.28 ,11.51 ,16.78 ,20.22 ,12.21 ,13.17 
35.76 ,35.90 ,9.26 ,11.48 ,16.78 ,20.21 ,12.15 ,13.14 
35.76 ,35.84 ,9.25 ,11.47 ,16.76 ,20.17 ,12.14 ,13.13 
35.76 ,35.84 ,9.23 ,11.44 ,16.76 ,20.15 ,12.11 ,13.13 
35.65 ,35.80 ,9.22 ,11.35 ,16.75 ,20.15 ,12.08 ,13.10 
35.65 ,35.80 ,9.22 ,11.31 ,16.75 ,20.15 ,12.07 ,13.08 
35.65 ,35.80 ,9.19 ,11.30 ,16.73 ,20.15 ,12.06 ,13.07 
35.65 ,35.75 ,9.16 ,11.27 ,16.73 ,20.15 ,12.06 ,13.07 
35.62 ,35.74 ,9.08 ,11.25 ,16.73 ,20.10 ,12.05 ,13.03 
35.62 ,35.54 ,9.07 ,11.19 ,16.73 ,20.10 ,12.03 ,13.01 
35.62 ,35.41 ,9.01 ,11.16 ,16.73 ,20.04 ,11.98 ,12.96 
35.62 ,35.41 ,9.01 ,11.05 ,16.73 ,20.04 ,11.98 ,12.89 
35.62 ,35.41 ,9.01 ,11.00 ,16.72 ,20.04 ,11.97 ,12.89 
35.57 ,35.41 ,8.88 ,10.99 ,16.72 ,20.04 ,11.96 ,12.87 
35.57 ,35.41 ,8.88 ,10.95 ,16.72 ,20.02 ,11.94 ,12.87 
35.57 ,35.41 ,8.86 ,10.94 ,16.72 ,20.02 ,11.94 ,12.86 
35.57 ,34.94 ,8.84 ,10.78 ,16.72 ,20.00 ,11.90 ,12.86 
35.57 ,34.94 ,8.84 ,10.78 ,16.69 ,20.00 ,11.89 ,12.84 
35.57 ,34.94 ,8.80 ,10.77 ,16.69 ,20.00 ,11.86 ,12.82 
35.57 ,34.94 ,8.77 ,10.65 ,16.68 ,19.94 ,11.85 ,12.81 
35.57 ,34.94 ,8.74 ,10.62 ,16.66 ,19.86 ,11.85 ,12.79 
35.57 ,34.94 ,8.73 ,10.62 ,16.66 ,19.85 ,11.84 ,12.79 
35.57 ,34.94 ,8.61 ,10.62 ,16.64 ,19.83 ,11.84 ,12.77 
35.57 ,34.93 ,8.59 ,10.56 ,16.61 ,19.82 ,11.83 ,12.73 
35.57 ,34.92 ,8.55 ,10.38 ,16.57 ,19.80 ,11.82 ,12.73 
35.55 ,34.92 ,8.55 ,10.35 ,16.56 ,19.80 ,11.81 ,12.68 
35.53 ,34.92 ,8.46 ,10.26 ,16.56 ,19.80 ,11.78 ,12.66 
35.53 ,34.92 ,8.36 ,10.25 ,16.55 ,19.80 ,11.78 ,12.66 
35.53 ,34.74 ,8.29 ,10.25 ,16.55 ,19.77 ,11.77 ,12.65 
35.53 ,34.74 ,8.23 ,10.25 ,16.55 ,19.60 ,11.75 ,12.65 
35.53 ,34.74 ,8.11 ,10.25 ,16.54 ,19.60 ,11.75 ,12.60 
35.53 ,34.74 ,7.98 ,10.22 ,16.53 ,19.39 ,11.74 ,12.60 
35.53 ,34.74 ,7.97 ,10.19 ,16.51 ,19.38 ,11.60 ,12.60 
35.44 ,34.74 ,7.93 ,10.19 ,16.50 ,19.37 ,11.59 ,12.59 
35.44 ,34.73 ,7.86 ,10.18 ,16.50 ,19.36 ,11.58 ,12.58 
35.44 ,34.73 ,7.71 ,10.14 ,16.48 ,19.28 ,11.57 ,12.53 
35.44 ,34.72 ,7.66 ,10.12 ,16.48 ,19.23 ,11.57 ,12.51 
35.37 ,34.72 ,7.66 ,10.09 ,16.45 ,19.23 ,11.55 ,12.50 
35.37 ,34.72 ,7.54 ,10.07 ,16.44 ,19.23 ,11.53 ,12.50 
35.37 ,34.72 ,7.46 ,10.06 ,16.44 ,19.23 ,11.49 ,12.48 
35.37 ,34.63 ,7.38 ,10.06 ,16.44 ,19.23 ,11.49 ,12.47 
35.37 ,34.61 ,7.14 ,9.93 ,16.37 ,19.23 ,11.48 ,12.47 
35.35 ,34.61 ,6.89 ,9.91 ,16.36 ,19.14 ,11.46 ,12.46 
35.33 ,34.61 ,6.79 ,9.89 ,16.36 ,19.13 ,11.42 ,12.45 
35.33 ,34.61 ,6.78 ,9.74 ,16.35 ,19.10 ,11.41 ,12.45 
35.33 ,34.61 ,6.78 ,9.59 ,16.34 ,19.03 ,11.35 ,12.44 
35.33 ,34.40 ,6.78 ,9.54 ,16.29 ,19.01 ,11.33 ,12.44 
35.33 ,34.26 ,6.72 ,9.27 ,16.28 ,19.01 ,11.33 ,12.43 
35.33 ,34.26 ,6.67 ,9.23 ,16.24 ,18.96 ,11.33 ,12.43 
35.33 ,34.26 ,6.61 ,9.19 ,16.24 ,18.96 ,11.32 ,12.40 
35.12 ,34.26 ,6.42 ,8.79 ,16.24 ,18.96 ,11.32 ,12.40 
35.12 ,34.26 ,6.41 ,8.66 ,16.24 ,18.93 ,11.31 ,12.39 
35.12 ,34.21 ,6.26 ,8.65 ,16.24 ,18.86 ,11.31 ,12.38 
35.10 ,34.21 ,6.20 ,8.57 ,16.23 ,18.84 ,11.28 ,12.38 
35.10 ,34.01 ,6.20 ,8.56 ,16.20 ,18.84 ,11.27 ,12.36 
35.10 ,34.01 ,6.07 ,8.48 ,16.19 ,18.77 ,11.25 ,12.33 
34.94 ,34.01 ,6.04 ,8.48 ,16.19 ,18.74 ,11.24 ,12.33 
34.94 ,34.01 ,6.00 ,8.41 ,16.19 ,18.74 ,11.24 ,12.31 
34.94 ,34.01 ,5.88 ,8.39 ,16.17 ,18.74 ,11.23 ,12.27 
34.94 ,34.01 ,5.71 ,8.26 ,16.15 ,18.74 ,11.22 ,12.27 
34.94 ,34.01 ,5.71 ,8.26 ,16.12 ,18.73 ,11.21 ,12.25 
34.66 ,33.99 ,5.49 ,8.23 ,16.11 ,18.72 ,11.19 ,12.22 
34.66 ,33.99 ,5.43 ,8.23 ,16.05 ,18.71 ,11.19 ,12.20 
34.66 ,33.99 ,5.43 ,8.23 ,16.02 ,18.67 ,11.13 ,12.18 
34.63 ,33.99 ,5.36 ,8.22 ,16.02 ,18.66 ,11.11 ,12.17 
34.51 ,33.99 ,5.27 ,8.12 ,15.97 ,18.65 ,11.11 ,12.17 
34.50 ,33.95 ,5.22 ,8.09 ,15.96 ,18.65 ,11.07 ,12.13 
34.48 ,33.95 ,5.13 ,7.95 ,15.96 ,18.63 ,11.05 ,12.10 
34.48 ,33.68 ,4.73 ,7.94 ,15.93 ,18.63 ,11.03 ,12.10 
34.48 ,33.55 ,4.72 ,7.77 ,15.93 ,18.63 ,11.03 ,12.09 
34.48 ,33.43 ,4.66 ,7.76 ,15.92 ,18.51 ,11.02 ,12.09 
34.48 ,33.43 ,4.63 ,7.75 ,15.90 ,18.51 ,11.00 ,12.08 
34.48 ,33.43 ,4.63 ,7.73 ,15.89 ,18.51 ,10.99 ,12.08 
34.45 ,33.43 ,4.61 ,7.69 ,15.89 ,18.46 ,10.98 ,12.07 
34.45 ,33.43 ,4.53 ,7.59 ,15.89 ,18.44 ,10.98 ,12.05 
34.45 ,33.43 ,4.53 ,7.53 ,15.88 ,18.39 ,10.94 ,12.04 
34.45 ,33.43 ,4.46 ,7.35 ,15.88 ,18.37 ,10.91 ,12.01 
34.45 ,33.42 ,4.45 ,7.30 ,15.88 ,18.36 ,10.89 ,12.01 
34.45 ,33.42 ,4.40 ,7.25 ,15.88 ,18.36 ,10.85 ,11.99 
34.45 ,33.42 ,4.35 ,7.21 ,15.88 ,18.36 ,10.80 ,11.98 
34.40 ,33.42 ,4.35 ,7.12 ,15.87 ,18.36 ,10.80 ,11.97 
34.37 ,33.42 ,4.29 ,7.11 ,15.87 ,18.36 ,10.80 ,11.97 
34.37 ,33.37 ,4.29 ,7.10 ,15.86 ,18.36 ,10.78 ,11.96 
34.37 ,33.36 ,4.04 ,7.04 ,15.84 ,18.34 ,10.77 ,11.94 
34.37 ,33.26 ,4.02 ,6.84 ,15.84 ,18.34 ,10.76 ,11.88 
34.36 ,33.26 ,3.97 ,6.73 ,15.83 ,18.29 ,10.76 ,11.86 
34.36 ,33.26 ,3.81 ,6.47 ,15.82 ,18.23 ,10.76 ,11.85 
34.36 ,33.26 ,3.72 ,6.42 ,15.82 ,18.23 ,10.76 ,11.82 
34.36 ,33.26 ,3.68 ,6.35 ,15.82 ,18.23 ,10.74 ,11.82 
34.36 ,33.22 ,3.48 ,6.32 ,15.82 ,18.23 ,10.71 ,11.80 
34.33 ,33.22 ,3.48 ,6.27 ,15.82 ,18.23 ,10.71 ,11.79 
34.33 ,33.22 ,3.37 ,6.23 ,15.80 ,18.23 ,10.71 ,11.79 
34.33 ,33.22 ,3.31 ,6.15 ,15.79 ,18.22 ,10.71 ,11.72 
34.33 ,33.22 ,3.18 ,6.13 ,15.78 ,18.21 ,10.71 ,11.70 
34.33 ,33.22 ,3.06 ,6.02 ,15.75 ,18.21 ,10.70 ,11.70 
34.31 ,33.22 ,3.06 ,6.00 ,15.75 ,18.19 ,10.67 ,11.68 
34.31 ,33.22 ,3.04 ,5.95 ,15.75 ,18.19 ,10.67 ,11.68 
34.26 ,33.22 ,2.89 ,5.83 ,15.75 ,18.19 ,10.67 ,11.67 
34.26 ,33.22 ,2.78 ,5.79 ,15.75 ,18.19 ,10.66 ,11.66 
34.25 ,33.09 ,2.68 ,5.78 ,15.74 ,18.17 ,10.66 ,11.66 
34.25 ,33.09 ,2.66 ,5.63 ,15.71 ,18.15 ,10.59 ,11.65 
34.25 ,33.09 ,2.60 ,5.58 ,15.70 ,18.13 ,10.59 ,11.64 
34.25 ,33.09 ,2.42 ,5.50 ,15.68 ,18.13 ,10.58 ,11.63 
34.25 ,33.09 ,2.38 ,5.43 ,15.68 ,18.13 ,10.58 ,11.60 
34.13 ,33.09 ,2.23 ,5.36 ,15.66 ,18.13 ,10.57 ,11.60 
34.13 ,33.09 ,1.97 ,5.28 ,15.64 ,18.12 ,10.55 ,11.57 
34.13 ,32.94 ,1.62 ,5.25 ,15.64 ,18.12 ,10.53 ,11.56 
34.13 ,32.78 ,1.40 ,5.20 ,15.64 ,18.11 ,10.53 ,11.55 
34.13 ,32.78 ,1.38 ,5.09 ,15.63 ,18.08 ,10.49 ,11.54 
33.99 ,32.65 ,0.94 ,4.74 ,15.63 ,18.06 ,10.47 ,11.51 
33.85 ,32.55 ,0.90 ,4.68 ,15.58 ,18.06 ,10.47 ,11.49 
33.85 ,32.52 ,0.83 ,4.62 ,15.58 ,18.03 ,10.47 ,11.49 
33.85 ,32.52 ,0.73 ,4.49 ,15.58 ,18.01 ,10.44 ,11.48 
33.85 ,32.52 ,0.57 ,4.43 ,15.57 ,18.00 ,10.43 ,11.46 
33.85 ,32.52 ,0.53 ,4.40 ,15.54 ,18.00 ,10.42 ,11.45 
33.85 ,32.48 ,0.51 ,4.39 ,15.54 ,18.00 ,10.40 ,11.43 
33.84 ,32.48 ,0.42 ,4.35 ,15.54 ,18.00 ,10.40 ,11.42 
33.84 ,32.48 ,0.39 ,4.35 ,15.54 ,18.00 ,10.40 ,11.42 
33.84 ,32.48 ,0.10 ,4.35 ,15.54 ,18.00 ,10.39 ,11.41 
33.84 ,32.48 ,0.02 ,4.35 ,15.54 ,18.00 ,10.39 ,11.41 
33.81 ,32.48 ,-0.25 ,4.18 ,15.49 ,17.99 ,10.38 ,11.40 
33.81 ,32.48 ,-0.54 ,4.17 ,15.48 ,17.99 ,10.38 ,11.39 
33.81 ,32.48 ,-0.56 ,4.13 ,15.48 ,17.99 ,10.37 ,11.37 
33.81 ,32.48 ,-0.62 ,4.07 ,15.45 ,17.99 ,10.37 ,11.36 
33.81 ,32.48 ,-0.82 ,3.95 ,15.45 ,17.99 ,10.34 ,11.36 
33.81 ,32.48 ,-0.96 ,3.81 ,15.45 ,17.94 ,10.32 ,11.36 
33.77 ,32.46 ,-0.98 ,3.67 ,15.41 ,17.93 ,10.30 ,11.35 
33.67 ,32.46 ,-1.00 ,3.58 ,15.41 ,17.93 ,10.30 ,11.34 
33.59 ,32.05 ,-1.12 ,3.54 ,15.39 ,17.93 ,10.28 ,11.34 
33.50 ,32.00 ,-1.22 ,3.49 ,15.39 ,17.93 ,10.28 ,11.34 
33.50 ,32.00 ,-1.36 ,3.43 ,15.39 ,17.93 ,10.26 ,11.34 
33.50 ,32.00 ,-1.48 ,3.31 ,15.39 ,17.92 ,10.25 ,11.31 
33.50 ,32.00 ,-1.51 ,3.26 ,15.39 ,17.91 ,10.24 ,11.31 
33.50 ,32.00 ,-1.54 ,3.23 ,15.39 ,17.91 ,10.24 ,11.31 
33.50 ,32.00 ,-1.55 ,3.00 ,15.39 ,17.91 ,10.23 ,11.28 
33.48 ,32.00 ,-1.65 ,2.87 ,15.38 ,17.89 ,10.22 ,11.27 
33.48 ,31.90 ,-1.65 ,2.58 ,15.38 ,17.88 ,10.22 ,11.27 
33.28 ,31.90 ,-1.67 ,2.55 ,15.38 ,17.87 ,10.22 ,11.27 
33.28 ,31.90 ,-1.68 ,2.08 ,15.38 ,17.87 ,10.21 ,11.27 
33.16 ,31.90 ,-1.81 ,2.04 ,15.38 ,17.87 ,10.20 ,11.26 
33.16 ,31.90 ,-1.94 ,1.86 ,15.37 ,17.86 ,10.20 ,11.24 
33.16 ,31.90 ,-1.97 ,1.43 ,15.37 ,17.86 ,10.19 ,11.23 
33.16 ,31.90 ,-2.03 ,1.41 ,15.37 ,17.82 ,10.18 ,11.23 
32.54 ,31.77 ,-2.23 ,1.41 ,15.35 ,17.82 ,10.17 ,11.21 
32.40 ,31.77 ,-2.26 ,1.16 ,15.35 ,17.82 ,10.13 ,11.19 
32.40 ,31.77 ,-2.28 ,0.73 ,15.35 ,17.82 ,10.13 ,11.19 
32.40 ,31.77 ,-2.30 ,0.43 ,15.35 ,17.74 ,10.12 ,11.19 
32.40 ,31.71 ,-2.39 ,0.40 ,15.34 ,17.72 ,10.12 ,11.19 
32.40 ,31.71 ,-2.41 ,0.35 ,15.34 ,17.71 ,10.11 ,11.17 
32.40 ,31.71 ,-2.66 ,0.72 ,15.33 ,17.70 ,10.11 ,11.16 
32.40 ,31.71 ,-2.71 ,0.99 ,15.33 ,17.69 ,10.10 ,11.13 
32.17 ,31.71 ,-2.76 ,0.99 ,15.33 ,17.68 ,10.10 ,11.13 
32.17 ,31.71 ,-2.87 ,1.05 ,15.29 ,17.68 ,10.10 ,11.12 
32.17 ,31.55 ,-2.91 ,1.94 ,15.28 ,17.66 ,10.10 ,11.11 
32.17 ,31.55 ,-2.95 ,2.26 ,15.28 ,17.63 ,10.09 ,11.10 
32.17 ,31.55 ,-3.01 ,2.31 ,15.28 ,17.63 ,10.06 ,11.09 
32.10 ,31.55 ,-3.01 ,2.48 ,15.27 ,17.63 ,10.06 ,11.08 
32.10 ,31.55 ,-3.05 ,2.54 ,15.27 ,17.63 ,10.04 ,11.08 
32.10 ,31.41 ,-3.20 ,2.55 ,15.27 ,17.63 ,10.04 ,11.07 
32.10 ,31.41 ,-3.24 ,2.55 ,15.24 ,17.63 ,10.04 ,11.03 
32.10 ,31.40 ,-3.29 ,2.59 ,15.23 ,17.60 ,10.03 ,10.99 
32.04 ,31.40 ,-3.35 ,2.74 ,15.23 ,17.60 ,10.00 ,10.99 
32.04 ,31.40 ,-3.43 ,2.74 ,15.23 ,17.60 ,9.99 ,10.98 
32.04 ,31.40 ,-4.28 ,2.74 ,15.23 ,17.60 ,9.98 ,10.96 
32.02 ,31.40 ,-4.49 ,3.42 ,15.22 ,17.58 ,9.98 ,10.94 
32.02 ,31.38 ,-5.61 ,4.16 ,15.21 ,17.58 ,9.97 ,10.94 
32.02 ,31.29 ,-5.90 ,4.31 ,15.20 ,17.53 ,9.97 ,10.90 
31.84 ,31.29 ,-6.22 ,4.44 ,15.19 ,17.52 ,9.95 ,10.86 
31.84 ,31.29 ,-7.03 ,4.44 ,15.19 ,17.47 ,9.95 ,10.84 
31.84 ,31.29 ,-7.25 ,4.96 ,15.18 ,17.45 ,9.92 ,10.83 
31.84 ,31.29 ,,,15.18 ,17.44 ,9.92 ,10.82 
31.84 ,31.27 ,,,15.18 ,17.42 ,9.92 ,10.82 
31.84 ,31.27 ,,,15.18 ,17.42 ,9.91 ,10.82 
31.75 ,31.27 ,,,15.16 ,17.42 ,9.89 ,10.79 
31.59 ,31.26 ,,,15.16 ,17.37 ,9.88 ,10.79 
31.59 ,31.21 ,,,15.16 ,17.37 ,9.88 ,10.75 
31.59 ,31.18 ,,,15.14 ,17.37 ,9.88 ,10.74 
31.59 ,31.12 ,,,15.14 ,17.34 ,9.87 ,10.74 
31.49 ,31.12 ,,,15.14 ,17.28 ,9.87 ,10.73 
31.49 ,31.12 ,,,15.14 ,17.27 ,9.87 ,10.72 
31.46 ,31.12 ,,,15.13 ,17.27 ,9.85 ,10.71 
31.46 ,31.12 ,,,15.13 ,17.27 ,9.84 ,10.70 
31.46 ,31.12 ,,,15.13 ,17.27 ,9.84 ,10.69 
31.46 ,31.10 ,,,15.13 ,17.23 ,9.84 ,10.66 
31.46 ,31.10 ,,,15.13 ,17.23 ,9.83 ,10.65 
31.35 ,31.08 ,,,15.13 ,17.23 ,9.82 ,10.64 
31.35 ,30.94 ,,,15.13 ,17.21 ,9.79 ,10.64 
31.35 ,30.94 ,,,15.13 ,17.19 ,9.78 ,10.63 
31.35 ,30.94 ,,,15.11 ,17.19 ,9.78 ,10.63 
31.35 ,30.94 ,,,15.10 ,17.19 ,9.77 ,10.62 
31.35 ,30.94 ,,,15.10 ,17.19 ,9.74 ,10.59 
31.28 ,30.87 ,,,15.09 ,17.19 ,9.72 ,10.58 
31.25 ,30.87 ,,,15.09 ,17.16 ,9.72 ,10.58 
31.25 ,30.87 ,,,15.09 ,17.14 ,9.70 ,10.57 
31.25 ,30.87 ,,,15.09 ,17.12 ,9.70 ,10.56 
31.25 ,30.87 ,,,15.09 ,17.10 ,9.69 ,10.53 
31.25 ,30.87 ,,,15.08 ,17.10 ,9.68 ,10.49 
31.24 ,30.77 ,,,15.08 ,17.10 ,9.67 ,10.49 
31.16 ,30.75 ,,,15.07 ,17.10 ,9.67 ,10.46 
31.16 ,30.75 ,,,15.05 ,17.10 ,9.65 ,10.46 
31.16 ,30.75 ,,,15.05 ,17.07 ,9.65 ,10.46 
31.16 ,30.74 ,,,15.05 ,17.07 ,9.63 ,10.44 
31.16 ,30.73 ,,,15.03 ,17.07 ,9.63 ,10.44 
31.16 ,30.73 ,,,15.03 ,17.07 ,9.62 ,10.44 
31.16 ,30.65 ,,,15.02 ,17.07 ,9.62 ,10.43 
31.09 ,30.65 ,,,15.02 ,17.07 ,9.62 ,10.42 
31.09 ,30.65 ,,,15.02 ,17.04 ,9.61 ,10.41 
31.09 ,30.65 ,,,15.02 ,17.04 ,9.60 ,10.41 
31.01 ,30.65 ,,,15.02 ,16.99 ,9.59 ,10.41 
30.91 ,30.65 ,,,15.01 ,16.98 ,9.57 ,10.39 
30.91 ,30.65 ,,,15.01 ,16.98 ,9.57 ,10.37 
30.91 ,30.49 ,,,15.00 ,16.98 ,9.56 ,10.37 
30.85 ,30.49 ,,,15.00 ,16.97 ,9.56 ,10.34 
30.85 ,30.49 ,,,15.00 ,16.96 ,9.55 ,10.34 
30.85 ,30.49 ,,,14.99 ,16.95 ,9.55 ,10.32 
30.78 ,30.33 ,,,14.99 ,16.91 ,9.55 ,10.27 
30.78 ,30.14 ,,,14.99 ,16.90 ,9.55 ,10.27 
30.78 ,30.14 ,,,14.99 ,16.79 ,9.55 ,10.24 
30.78 ,30.14 ,,,14.99 ,16.79 ,9.53 ,10.23 
30.78 ,30.14 ,,,14.98 ,16.77 ,9.53 ,10.21 
30.70 ,30.14 ,,,14.98 ,16.77 ,9.52 ,10.20 
30.69 ,30.13 ,,,14.98 ,16.77 ,9.51 ,10.19 
30.69 ,30.11 ,,,14.98 ,16.76 ,9.50 ,10.18 
30.69 ,30.08 ,,,14.98 ,16.76 ,9.49 ,10.16 
30.69 ,30.08 ,,,14.98 ,16.75 ,9.48 ,10.13 
30.69 ,30.08 ,,,14.98 ,16.75 ,9.48 ,10.12 
30.66 ,30.08 ,,,14.98 ,16.75 ,9.48 ,10.12 
30.66 ,30.08 ,,,14.97 ,16.74 ,9.46 ,10.08 
30.66 ,29.86 ,,,14.97 ,16.72 ,9.44 ,10.07 
30.66 ,29.84 ,,,14.96 ,16.68 ,9.40 ,10.05 
30.60 ,29.84 ,,,14.96 ,16.68 ,9.39 ,10.05 
30.60 ,29.84 ,,,14.96 ,16.61 ,9.38 ,10.04 
30.60 ,29.84 ,,,14.93 ,16.57 ,9.38 ,10.02 
30.60 ,29.84 ,,,14.93 ,16.57 ,9.37 ,10.02 
30.60 ,29.84 ,,,14.93 ,16.53 ,9.37 ,10.01 
30.60 ,29.84 ,,,14.93 ,16.52 ,9.37 ,9.99 
30.57 ,29.73 ,,,14.93 ,16.52 ,9.35 ,9.99 
30.57 ,29.66 ,,,14.93 ,16.52 ,9.34 ,9.97 
30.57 ,29.63 ,,,14.93 ,16.47 ,9.34 ,9.97 
30.57 ,29.52 ,,,14.90 ,16.46 ,9.33 ,9.95 
30.55 ,29.52 ,,,14.90 ,16.44 ,9.32 ,9.95 
30.45 ,29.52 ,,,14.90 ,16.43 ,9.32 ,9.93 
30.45 ,29.52 ,,,14.90 ,16.42 ,9.31 ,9.92 
30.45 ,29.52 ,,,14.90 ,16.42 ,9.28 ,9.91 
30.45 ,29.52 ,,,14.90 ,16.42 ,9.27 ,9.89 
30.36 ,29.52 ,,,14.89 ,16.42 ,9.26 ,9.88 
30.36 ,29.44 ,,,14.89 ,16.39 ,9.26 ,9.88 
30.36 ,29.40 ,,,14.88 ,16.39 ,9.25 ,9.83 
30.30 ,29.40 ,,,14.88 ,16.39 ,9.24 ,9.81 
30.30 ,29.36 ,,,14.87 ,16.37 ,9.24 ,9.81 
30.30 ,29.33 ,,,14.86 ,16.34 ,9.23 ,9.74 
30.30 ,29.33 ,,,14.84 ,16.33 ,9.23 ,9.70 
30.30 ,29.33 ,,,14.84 ,16.33 ,9.21 ,9.67 
30.28 ,29.33 ,,,14.84 ,16.33 ,9.21 ,9.67 
30.28 ,29.33 ,,,14.84 ,16.32 ,9.20 ,9.67 
30.27 ,29.33 ,,,14.84 ,16.30 ,9.18 ,9.67 
30.25 ,29.33 ,,,14.84 ,16.29 ,9.18 ,9.66 
30.25 ,29.25 ,,,14.83 ,16.29 ,9.17 ,9.66 
30.22 ,29.25 ,,,14.82 ,16.29 ,9.17 ,9.65 
30.22 ,29.25 ,,,14.80 ,16.28 ,9.15 ,9.64 
30.22 ,29.25 ,,,14.78 ,16.28 ,9.15 ,9.62 
30.22 ,29.25 ,,,14.78 ,16.28 ,9.15 ,9.62 
30.21 ,29.22 ,,,14.78 ,16.28 ,9.14 ,9.62 
30.21 ,29.16 ,,,14.78 ,16.28 ,9.14 ,9.55 
30.21 ,29.15 ,,,14.78 ,16.28 ,9.12 ,9.55 
30.19 ,29.14 ,,,14.77 ,16.28 ,9.11 ,9.55 
30.19 ,29.14 ,,,14.77 ,16.28 ,9.11 ,9.54 
30.19 ,29.14 ,,,14.76 ,16.28 ,9.10 ,9.50 
30.19 ,29.06 ,,,14.76 ,16.28 ,9.10 ,9.50 
30.19 ,29.03 ,,,14.76 ,16.26 ,9.09 ,9.49 
30.19 ,29.03 ,,,14.76 ,16.23 ,9.09 ,9.48 
30.16 ,29.03 ,,,14.76 ,16.21 ,9.08 ,9.48 
30.15 ,29.03 ,,,14.76 ,16.20 ,9.08 ,9.45 
30.15 ,29.03 ,,,14.76 ,16.19 ,9.08 ,9.42 
30.15 ,29.03 ,,,14.76 ,16.19 ,9.08 ,9.39 
29.94 ,29.02 ,,,14.76 ,16.19 ,9.06 ,9.39 
29.94 ,28.99 ,,,14.76 ,16.19 ,9.05 ,9.38 
29.94 ,28.99 ,,,14.75 ,16.18 ,9.04 ,9.37 
29.91 ,28.99 ,,,14.75 ,16.17 ,9.02 ,9.37 
29.83 ,28.99 ,,,14.75 ,16.14 ,9.02 ,9.37 
29.71 ,28.99 ,,,14.73 ,16.12 ,9.02 ,9.36 
29.71 ,28.99 ,,,14.72 ,16.11 ,9.02 ,9.35 
29.69 ,28.98 ,,,14.68 ,16.11 ,9.02 ,9.35 
29.69 ,28.98 ,,,14.66 ,16.09 ,9.01 ,9.34 
29.69 ,28.98 ,,,14.66 ,16.08 ,9.01 ,9.32 
29.69 ,28.98 ,,,14.66 ,16.08 ,9.01 ,9.32 
29.69 ,28.91 ,,,14.66 ,16.08 ,9.00 ,9.32 
29.66 ,28.82 ,,,14.65 ,16.07 ,8.98 ,9.31 
29.66 ,28.82 ,,,14.64 ,16.07 ,8.98 ,9.31 
29.66 ,28.71 ,,,14.64 ,16.07 ,8.95 ,9.31 
29.66 ,28.71 ,,,14.64 ,16.07 ,8.95 ,9.31 
29.66 ,28.71 ,,,14.64 ,16.07 ,8.94 ,9.29 
29.66 ,28.71 ,,,14.64 ,16.05 ,8.93 ,9.28 
29.54 ,28.71 ,,,14.64 ,16.05 ,8.93 ,9.27 
29.54 ,28.71 ,,,14.63 ,16.05 ,8.93 ,9.27 
29.54 ,28.66 ,,,14.63 ,16.04 ,8.93 ,9.27 
29.54 ,28.66 ,,,14.62 ,15.99 ,8.92 ,9.25 
29.54 ,28.66 ,,,14.62 ,15.98 ,8.91 ,9.25 
29.54 ,28.66 ,,,14.61 ,15.96 ,8.90 ,9.23 
29.54 ,28.66 ,,,14.61 ,15.93 ,8.90 ,9.22 
29.52 ,28.64 ,,,14.61 ,15.93 ,8.89 ,9.20 
29.48 ,28.61 ,,,14.61 ,15.90 ,8.88 ,9.19 
29.45 ,28.60 ,,,14.60 ,15.89 ,8.88 ,9.19 
29.45 ,28.60 ,,,14.60 ,15.85 ,8.88 ,9.17 
29.45 ,28.60 ,,,14.59 ,15.85 ,8.87 ,9.17 
29.45 ,28.57 ,,,14.59 ,15.85 ,8.87 ,9.17 
29.45 ,28.57 ,,,14.59 ,15.84 ,8.86 ,9.17 
